INCIDENT INFO,START_DT,QUADRANT
 16 Avenue and Deerfoot Trail NE ,8/1/2023 12:22,NE
 Cranberry Road and Cranston Avenue SE ,8/1/2023 12:18,SE
 Erin Woods Drive and Erin Gv SE ,8/1/2023 12:14,SE
 Eastbound 162 Avenue and James McKevitt Road SW ,8/1/2023 11:45,SW
 Eastbound Memorial Drive and 12 Street NE ,8/1/2023 9:47,NW
 Northbound Deerfoot Trail approaching Anderson Road SE ,8/1/2023 9:14,SE
 Southbound Deerfoot Trail approaching Glenmore Trail SE ,8/1/2023 8:43,SE
 Northbound Deerfoot Trail and Glenmore Trail SE ,8/1/2023 6:50,SE
 15 Avenue and 1 Street SE ,8/1/2023 6:05,SE
 Martha&#39;s Meadow Drive and Martindale Boulevard NE ,8/1/2023 5:38,NE
 80 Avenue and Saddletowne Ci NE ,8/1/2023 5:15,NE
 17 Avenue and 25 Street SW ,7/31/2023 21:08,SW
 Falconridge Boulevard and Falworth Road NE ,7/31/2023 20:27,NE
 Southbound Metis Trail at Country Hills Boulevard NE ,7/31/2023 18:59,NE
 Eastbound Glenmore Trail at 14 Street SW ,7/31/2023 17:36,SW
 Southbound Deerfoot Trail approaching McKnight Boulevard NE ,7/31/2023 17:08,NE
 Southbound Deerfoot Trail approaching McKnight Boulevard NE ,7/31/2023 17:08,NE
 Eastbound Glenmore Trail at Elbow Drive SW ,7/31/2023 16:33,SW
 Sunridge Boulevard and 32 Street NE ,7/31/2023 15:41,NE
 Crowchild Trail and Stoney Trail NW ,7/31/2023 13:54,NW
 Southbound Macleod Trail and 61 Avenue SW ,7/31/2023 13:01,SW
 11 Avenue and Centre Street S ,7/31/2023 9:26,SE
 Southbound Deerfoot Trail and Barlow Trail SE ,7/31/2023 9:20,SE
 16 Avenue and 29 Street NW ,7/31/2023 9:10,NW
 16 Avenue at 1 Street NE ,7/31/2023 8:33,NE
 Northbound Deerfoot Trail approaching Heritage Drive SE ,7/31/2023 8:09,SE
 Northbound Deerfoot Trail north of Glenmore Trail SE ,7/31/2023 7:11,SE
 Children&#39;s Wy and Smith Street NW ,7/31/2023 6:45,NW
 Macleod Trail and 39 Avenue SE ,7/31/2023 5:58,SE
 Northbound 52 Street at New Brighton Gate SE ,7/30/2023 21:10,SE
 Northbound Sheriff King Street at Stoney Trail SW ,7/30/2023 19:14,SW
 James Mckevitt Road and Stoney Trail SW ,7/30/2023 16:56,SW
 Ogden Road and 69 Avenue SE ,7/30/2023 16:24,SE
 58 Avenue and 2 Street SW ,7/30/2023 13:25,SW
 37 Street and Richardson Wy SW ,7/30/2023 12:37,SW
 Southbound 52 Street and Peigan Trail SE ,7/30/2023 11:37,SE
 Symons Valley Py and Evanspark Boulevard NW ,7/30/2023 11:15,NW
 Northbound Barlow Trail and Sunridge Wy NE ,7/30/2023 11:05,NE
 Westbound Memorial Drive and Deerfoot Trail SE ,7/30/2023 10:16,SE
 Southbound 36 Street approaching 64 Avenue NE ,7/30/2023 4:45,NE
 Southbound 36 Street approaching 64 Avenue NE ,7/30/2023 4:45,NE
 5 Street and 24 Avenue SW ,7/30/2023 3:44,SW
 Eastbound 32 Avenue at 23 Street NE ,7/30/2023 3:39,NE
 Macleod Trail and 7 Avenue SE ,7/30/2023 1:41,SE
 Memorial Drive and Madigan Drive NE ,7/29/2023 22:23,NE
 Bowness Road and Shaganappi Trail NW ,7/29/2023 19:07,NW
 Memorial Drive and Deerfoot Trail SE ,7/29/2023 17:05,SE
 Country Hills Boulevard at Stoney Trail NE ,7/29/2023 16:26,NE
 37 Avenue at 27 Street NE ,7/29/2023 16:04,NE
 Northbound 36 Street after 16 Avenue NE ,7/29/2023 15:50,NE
 Northbound 14 Street at 5 Avenue NW ,7/29/2023 14:20,NW
 26 Avenue and 26A Street SW ,7/29/2023 14:11,SW
 Westbound Glenmore Trail approaching Blackfoot Trail SE ,7/29/2023 14:02,SE
 Northbound Macleod Trail and Lake Fraser Gate SE ,7/29/2023 13:05,SE
 37 Avenue and 27 Street NE ,7/29/2023 10:53,NW
 Springborough Boulevard and 69 Street SW ,7/29/2023 10:36,SW
 Centre Street and Laycock Drive NW ,7/29/2023 10:20,NW
 Springborough Boulevard and 69 Street SW ,7/29/2023 8:32,SW
 Country Hills Boulevard and Cornerstone Boulevard NE ,7/29/2023 8:10,NE
 Beddington Trail and Beddington Boulevard NE ,7/29/2023 4:35,NE
 5 Street and 8 Avenue SW ,7/29/2023 2:39,SW
 Southbound 1 Street at 11 Avenue SE  ,7/29/2023 2:19,SE
 Southbound Deerfoot Trail south of Stoney Trail NE ,7/29/2023 0:53,NE
 Westbound Airport Trail at 19 Street NE ,7/29/2023 0:21,NE
 Sarcee Trail and Bow Trail SW ,7/28/2023 23:39,SW
 Southbound Macleod Trail at 25 Avenue SW ,7/28/2023 23:12,SW
 Southbound 36 Street at 64 Avenue NE ,7/28/2023 18:49,NE
 Eastbound Memorial Drive at 39 Street SE ,7/28/2023 18:00,SE
 Southbound 52 Street at 126 Avenue SE ,7/28/2023 16:10,SE
 Southbound Falconridge Boulevard approaching Mcknight Boulevard NE ,7/28/2023 16:05,NE
 Southbound Crowchild Trail approaching 5 Avenue NW ,7/28/2023 15:49,NW
 12 Avenue and 33 Street NE ,7/28/2023 14:54,NE
 Westbound Stoney Trail after Beddington Trail NW ,7/28/2023 13:49,NW
 Eastbound 58 Avenue after 4 Street SE ,7/28/2023 13:48,SE
 Shaganappi Trail and Edgemont Boulevard NW ,7/28/2023 13:46,NW
 Southbound Deerfoot Trail and Glenmore Trail SE ,7/28/2023 13:16,SE
 3 Avenue and 1 Street SW ,7/28/2023 11:25,SW
 58 Avenue and Centre Street S ,7/28/2023 10:35,SW
 Northbound Stoney Trail and Crowchild Trail NW ,7/28/2023 9:27,NW
 Crowchild Trail and 24 Avenue NW ,7/28/2023 2:11,NW
 Crowchild Trail and 24 Avenue NW ,7/28/2023 2:11,NW
 Fairmount Drive and Southland Drive SE ,7/27/2023 22:08,SE
 Deerfoot Trail and Airport Trail NE ,7/27/2023 20:46,NE
 Northbound Falconridge Boulevard at Taradale Drive NE ,7/27/2023 20:36,NE
 36 Street and 14 Avenue SE ,7/27/2023 19:36,SE
 Southbound Crowchild Trail after Kensington Road NW ,7/27/2023 17:35,NW
 Northbound Macleod Trail at 109 Avenue SE ,7/27/2023 17:30,SE
 Eastbound Richmond Road at Glenway Drive SW ,7/27/2023 17:27,SW
 Beddington Boulevard and Bermuda Drive NW ,7/27/2023 17:20,NW
 Southbound Deerfoot Trail at 64 Avenue NE ,7/27/2023 17:06,NE
 Southbound Deerfoot Trail after 16 Avenue NE ,7/27/2023 17:02,NE
 Eastbound Glenmore Trail after Crowchild Trail SW ,7/27/2023 16:50,SW
 Eastbound McKnight Boulevard after Deerfoot Trail NE ,7/27/2023 16:07,NE
 Southbound Deerfoot Trail approaching Barlow Trail SE ,7/27/2023 16:02,SE
 16 Avenue b/w Deerfoot Trail and 6 Street NE ,7/27/2023 15:21,NE
 16 Avenue b/w Deerfoot Trail and 6 Street NE ,7/27/2023 15:21,NE
 6 Street b/w 16 Avenue and 17 Avenue NE ,7/27/2023 15:21,NE
 4 Avenue and 1 Street SW ,7/27/2023 13:53,SW
 Northbound 68 Street at Glenmore Trail SE ,7/27/2023 8:12,SE
 Northbound Deerfoot Trail at Ivor Strong Bridge SE ,7/27/2023 7:46,SE
 Southbound Deerfoot Trail at 16 Avenue NE ,7/27/2023 5:34,NE
 Edmonton Trail and 16 Avenue NE ,7/27/2023 2:33,NE
 85 Street and Scenic Bow Road NW ,7/26/2023 20:14,NW
 Riverfront Avenue and 4 Street SE ,7/26/2023 19:52,SE
 Anderson Road and Deerfoot Trail SE ,7/26/2023 19:36,SE
 Southbound 5 Street after 11 Avenue SW ,7/26/2023 18:52,SW
 Westbound 32 Avenue at 12 Street NE ,7/26/2023 17:51,NE
 32 Avenue b/w 12 Street and Deerfoot Trail NE ,7/26/2023 17:51,NE
 Northbound Macleod Trail approaching 90 Avenue SE ,7/26/2023 17:37,SE
 Southbound Sarcee Trail north of Bow Trail SW ,7/26/2023 17:35,SW
 4 Street and 30 Avenue NW ,7/26/2023 17:03,NW
 Eastbound Stoney Trail after Shaganappi Trail NW ,7/26/2023 16:54,NW
 Northbound Centre Street after 16 Avenue N ,7/26/2023 16:06,NE
 Southbound Spruce Drive at Spruce Pl SW ,7/26/2023 15:56,SW
 Southbound 52 Street at New Brighton Drive SE ,7/26/2023 15:47,SE
 64 Avenue and Hunterhorn Road NE ,7/26/2023 15:07,NE
 Shaganappi Trail and Symons Valley Py NW ,7/26/2023 14:18,NW
 Eastbound Glenmore Trail at Deerfoot Trail SE ,7/26/2023 13:48,SE
 Eastbound Glenmore Trail at Deerfoot Trail SE ,7/26/2023 13:48,SE
 Coventry Hills Boulevard and Country Village Road NE ,7/26/2023 13:17,NE
 11 Street and 53 Avenue NE ,7/26/2023 12:48,NE
 Westbound 16 Avenue at Deerfoot Trail NE ,7/26/2023 12:20,NE
 Westbound 16 Avenue at Deerfoot Trail NE ,7/26/2023 12:20,NE
 Northbound Deerfoot Trail at 16 Avenue NE ,7/26/2023 11:33,NE
 Old Banff Coach Road and 101 Street SW ,7/26/2023 9:26,SW
 64 Avenue and Metis Trail NE ,7/26/2023 9:19,NE
 Eastbound 17 Avenue at 69 Street SW ,7/26/2023 8:43,SW
 Glenmore Trail at Deerfoot Trail SE ,7/26/2023 8:10,NW
 Eastbound Beddington Trail approaching Deerfoot Trail NE ,7/26/2023 7:55,NE
 Tsuut'ina Trail and Fish Creek Boulevard SW ,7/26/2023 6:01,SW
 Northbound Tsuut ina Trail approaching 130 Avenue SW ,7/26/2023 6:01,SW
 Northbound Tsuut ina Trail approaching 130 Avenue SW ,7/26/2023 6:01,SW
 8 Avenue and 2 Street SW ,7/26/2023 2:01,SW
 Elbow Drive and 58 Avenue SW ,7/25/2023 22:41,SW
 Southbound Deerfoot Trail SE south of Calf Robe Bridge ,7/25/2023 18:35,NW
 Metis Trail and 104 Avenue NE ,7/25/2023 17:37,NE
 Bow Bottom Trail and Diamond Drive SE ,7/25/2023 16:56,SE
 Peigan Trail and Barlow Trail SE ,7/25/2023 16:48,SE
 Glenmore Trail and Blackfoot Trail SE ,7/25/2023 16:39,SE
 Northbound Deerfoot Trail approaching 17 Avenue SE ,7/25/2023 15:33,SE
 Northbound Deerfoot Trail approaching 17 Avenue SE ,7/25/2023 15:33,SE
 40 Avenue and 49 Street NW ,7/25/2023 12:24,NW
 Riverfront Avenue and Centre Street S ,7/25/2023 11:46,NW
 5 Street and 25 Avenue SW ,7/25/2023 10:14,SW
 Southbound 52 Street and Rundlehorn Drive NE ,7/25/2023 9:16,NE
 Southbound 52 Street and 72 Avenue SE ,7/25/2023 8:51,SE
 Northbound 5 Street and 11 Avenue SW ,7/25/2023 7:53,NW
 Ogden Road South of 50 Avenue SE ,7/25/2023 6:45,SE
 Southbound Deerfoot Trail and Glenmore Trail SE ,7/25/2023 1:26,SE
 Deerfoot Trail and Seton Boulevard SE ,7/24/2023 21:09,SE
 8 Street and Memorial Drive NW ,7/24/2023 20:46,NW
 Northbound Deerfoot Trail after 130 Avenue SE ,7/24/2023 20:06,SE
 68 Street and 12 Avenue NE ,7/24/2023 19:53,NE
 Westbound 16 Avenue approaching 52 Street NE ,7/24/2023 19:35,NE
 Southbound Deerfoot Trail and Country Hills Boulevard NE ,7/24/2023 17:58,NE
 11 Street and 20 Avenue NW ,7/24/2023 17:52,NW
 Eastbound Stoney Trail and Deerfoot Trail SE ,7/24/2023 17:48,SE
 Eastbound Glenmore Trail approaching Deerfoot Trail SE ,7/24/2023 17:26,SE
 Royal Highland Road and Rocky Ridge Road NW ,7/24/2023 17:24,NW
 Westbound Glenmore Trail approaching Blackfoot Trail SE ,7/24/2023 16:36,SE
 8 Av &amp; 47 Street SE ,7/24/2023 15:09,SE
 Westbound 67 Avenue SW and MacLeod Trail SW ,7/24/2023 14:25,SW
 Northbound 36 Street and 16 Avenue NE ,7/24/2023 14:17,NE
 Northbound 52 Street and Madigan Drive NE ,7/24/2023 13:54,NE
 39 Avenue and 27 Street NE ,7/24/2023 13:09,NE
 Country Hills Boulevard and Stoney Trail NE ,7/24/2023 12:07,NE
 Stoney Trail and Sarcee Trail NW ,7/24/2023 11:24,NW
 Southbound Sarcee Trail and Richmond Road SW ,7/24/2023 10:44,SW
 Eastbound 16 Avenue and Deerfoot Trail NE ,7/24/2023 10:31,NE
 17 Avenue and 11 Street SW ,7/24/2023 9:02,SW
 16 Avenue and Banff Trail NW ,7/24/2023 6:48,NW
 Eastbound Memorial Drive at Deerfoot Trail SE ,7/23/2023 23:17,SE
 Eastbound Beddington Trail at Hidden Creek Drive NW ,7/23/2023 22:44,NW
 64 Avenue and 9 Street NE ,7/23/2023 21:22,NE
 Westbound Country Hills Boulevard approaching Barlow Trail NE ,7/23/2023 19:27,NE
 Northbound Deerfoot Trail at 32 Avenue NE ,7/23/2023 18:12,NE
 Southbound Deerfoot Trail at 32 Avenue NE ,7/23/2023 17:49,NE
 Eastbound Memorial Drive and Deerfoot Trail SE ,7/23/2023 17:26,SE
 Eastbound Memorial Drive at Deerfoot Trail SE ,7/23/2023 17:26,SE
 Eastbound Memorial Drive at Deerfoot Trail SE ,7/23/2023 17:26,SE
 53 Street and John Laurie Boulevard NW ,7/23/2023 16:12,NW
 16 Avenue and 43 Street NW ,7/23/2023 16:08,NW
 Westbound Glenmore Trail and 18 Street SE ,7/23/2023 16:06,SE
 Centre Street and 7 Avenue NE ,7/23/2023 14:36,NE
 Northbound Sarcee Trail approaching Bow Trail SW ,7/23/2023 14:11,SW
 Northbound Shaganappi Trail and Crowchild Trail NW ,7/23/2023 13:06,NW
 Sarcee Trail and Sherwood Boulevard NW ,7/23/2023 12:18,NW
 32 Avenue and 64 Street NE ,7/23/2023 8:37,NE
 33 Avenue and 22 Street SW ,7/23/2023 6:58,NW
 Arbour Lake Drive and John Laurie Boulevard NW ,7/23/2023 6:35,NW
 Northbound Barlow Trail at 106 Avenue SE ,7/23/2023 1:14,SE
 Edmonton Trail and 7 Avenue NE ,7/23/2023 1:01,NE
 Edmonton Trail and 7 Avenue NE ,7/23/2023 1:01,NE
 Northbound Stoney Trail north of Country Hills Boulevard NE ,7/23/2023 0:02,NE
 Eastbound Stoney Trail approaching Sarcee Trail NW ,7/22/2023 22:39,NW
 Westbound Glenmore Trail at Crowchild Trail SW ,7/22/2023 20:34,SW
 Southbound Macleod Trail at 46 Avenue SW ,7/22/2023 19:02,SW
 14 Street and 24 Avenue NW ,7/22/2023 17:15,NW
 4 Street and McKnight Boulevard NE ,7/22/2023 16:52,NE
 Country Hills Boulevard and Barlow Trail NE ,7/22/2023 16:26,NE
 50 Avenue and 47 Street NE ,7/22/2023 14:53,NE
 Eastbound 16 Avenue and Home Road NW ,7/22/2023 14:35,NW
 Northbound Centre Street N and 16 Avenue NW ,7/22/2023 14:30,NW
 Elbow Drive and 96 Avenue SW ,7/22/2023 11:59,SW
 James McKevit Road and Stoney Trail SW ,7/22/2023 11:32,SW
 Northbound Deerfoot Trail and Anderson Road SE ,7/22/2023 10:42,SE
 Country Hills Boulevard and Rocky Ridge Road NW ,7/22/2023 10:25,NW
 Martindale Drive and 54 Street NE ,7/22/2023 8:02,NE
 Southbound Macleod Trail and Lake Fraser Gate SE ,7/22/2023 7:55,NW
 10 Avenue at 7 Street SW ,7/22/2023 2:38,SW
 Northbound Metis Trail at 128 Avenue NE ,7/22/2023 1:10,NE
 Deerfoot Trail and 212 Avenue SE ,7/22/2023 1:06,SE
 Deerfoot Trail and 212 Avenue SE ,7/22/2023 1:06,SE
 Southbound Deerfoot Trail at 212 Avenue SE ,7/22/2023 1:06,SE
 Westbound 17 Avenue at 1 Street SW ,7/21/2023 22:00,SW
 Barlow Trail and Centre Avenue E ,7/21/2023 21:45,NE
 Macleod Trail and 58 Avenue SW ,7/21/2023 21:40,SW
 Westbound Glenmore Trail west of 14 Street SW ,7/21/2023 19:25,SW
 64 Avenue and Castleridge Boulevard NE ,7/21/2023 18:46,NE
 Blackfoot Trail and Glenmore Trail SE ,7/21/2023 16:11,SE
 Eastbound Peigan Trail approaching Stoney Trail SE ,7/21/2023 15:23,SE
 Northbound Deerfoot Trail and 16 Avenue NE ,7/21/2023 11:43,NW
 194 Avenue and Silverado Drive SW ,7/21/2023 11:37,SW
 Eastbound Memorial Drive and 5a Street NW ,7/21/2023 11:25,NW
 Southbound Crowchild Trail and 24 Avenue NW ,7/21/2023 11:11,NW
 34 Street and 37 Avenue NE ,7/21/2023 9:17,NE
 Northbound Macleod Trail and 10 Avenue SE ,7/21/2023 8:38,SE
 Heritage Drive and Glendeer Circle SE ,7/21/2023 8:20,SE
 Northbound 3 Street and 4 Avenue SE ,7/21/2023 8:16,SE
 44 Street and Memorial Drive E ,7/20/2023 22:18,SE
 88 Avenue and 60 Street NE ,7/20/2023 22:13,NE
 Southbound Macleod Trail and 58 Avenue SW ,7/20/2023 19:50,SW
 Macleod Trail and 61 Avenue SW ,7/20/2023 19:50,SW
 Eastbound 17 Avenue and 38 Street SE ,7/20/2023 19:30,SE
 Northbound Blackfoot Trail and Southland Drive SE ,7/20/2023 18:30,SE
 17 Avenue and Stoney Trail SE ,7/20/2023 17:58,SE
 Northbound Stoney Trail approaching 17 Avenue SE ,7/20/2023 17:10,SE
 Eastbound 16 Avenue and 68 Street NE ,7/20/2023 16:57,NE
 Northbound Stoney Trail Approaching 16 Av NE ,7/20/2023 16:47,NE
 68 Street and Abbeydale Drive NE ,7/20/2023 16:14,NE
 Eastbound McKnight Boulevard and Deerfoot Trail NE ,7/20/2023 16:04,NE
 Northbound Deerfoot Trail and Beddington Trail NE ,7/20/2023 16:00,NE
 Southbound 1 and 17 Avenue SE ,7/20/2023 15:47,SE
 84 Avenue and 36 Street NE ,7/20/2023 15:44,NE
 Southbound Deerfoot Trail south of Cranston Gate SE ,7/20/2023 15:31,SE
 Southbound Deerfoot Trail south of Cranston Gate SE ,7/20/2023 15:31,SE
 26 Avenue and 36 Street NE ,7/20/2023 15:20,NE
 Westbound Glenmore Trail west of 68 Street SE ,7/20/2023 15:00,SE
 106 Avenue and 52 Street SE ,7/20/2023 13:59,SE
 Southbound Macleod Trail and 109 Avenue SE ,7/20/2023 13:16,SE
 52 Street and Mckenzie Towne Drive SE ,7/20/2023 10:39,SE
 Southbound Deerfoot Trail and Memorial Drive NE ,7/20/2023 10:06,NE
 16 Avenue and 68 Street NE ,7/20/2023 9:18,NE
 Northbound Deerfoot Trail approaching Peigan Trail SE ,7/20/2023 8:02,SE
 Northbound 36 Street and Whitefield Drive NE ,7/20/2023 6:15,NE
 Deerfoot Trail after Peigan Trail SE ,7/20/2023 2:57,SE
 Centre Street and 40 Avenue N ,7/19/2023 23:52,NW
 Crowfoot Crescent and Crowfoot Road NW ,7/19/2023 18:48,NW
 Westbound Bow Trail Approaching Sarcee Trail SW ,7/19/2023 18:15,SW
 61 Avenue and Centre Street S ,7/19/2023 17:29,SE
 Northbound Deerfoot Trail approaching Anderson Road SE ,7/19/2023 17:13,SE
 Bow Bottom Trail and Anderson Road SE ,7/19/2023 17:01,SE
 52 Street and Memorial Drive E ,7/19/2023 16:21,SE
 Panorama Hills Boulevard and Panorama Hills Drive NW ,7/19/2023 16:06,NW
 Westbound 50 Avenue and 23 Street SE ,7/19/2023 15:25,SE
 Eastbound Glenmore Trail and 68 Street SE ,7/19/2023 14:01,SE
 39 Avenue and 32 Street NE ,7/19/2023 13:39,NE
 17 Avenue and 50 Street SE ,7/19/2023 13:35,NE
 Eastbound 17 Avenue and Deerfoot Trail SE ,7/19/2023 12:48,SE
 17 Avenue and Deerfoot Trail SE ,7/19/2023 12:48,SE
 Bonaventure Drive and 99 Avenue SE ,7/19/2023 10:48,SE
 Westbound Peigan Trail and Barlow Trail SE ,7/19/2023 10:29,SE
 Southbound Deerfoot Trail and 16 Avenue NE ,7/19/2023 10:20,NE
 Northbound Stoney Trail approaching 96 Avenue NE ,7/19/2023 9:10,NE
 Southbound 69 Street and Springborough Boulevard SW ,7/19/2023 9:04,SW
 Westbound Memorial Drive and 28 Street SE ,7/19/2023 8:56,SE
 Southbound Deerfoot Trail and Peigan Trail SE ,7/19/2023 8:38,SE
 Eastbound Country Hills Boulevard and Freeport Drive NE ,7/19/2023 8:33,NE
 112 Avenue and Sarcee Trail NW ,7/19/2023 6:44,NW
 Eastbound Stoney Trail east of Harvest Hills Boulevard N ,7/19/2023 2:51,NE
 Eastbound Stoney Trail after Harvest Hills Boulevard N ,7/19/2023 2:51,NE
 Northbound Crowchild Trail at Memorial Drive NW ,7/18/2023 22:13,NW
 Midpark Boulevard and Sun Valley Boulevard SE ,7/18/2023 20:55,SE
 Cougar Ridge Drive and Cougarstone Court SW ,7/18/2023 20:38,SW
 52 Street and 14 Avenue SE ,7/18/2023 20:27,SE
 Southbound 36 Street and 32 Avenue NE ,7/18/2023 19:36,NE
 Westbound 17 Avenue and 36 Street SE ,7/18/2023 16:58,SE
 13 Avenue west of 8 Street SW ,7/18/2023 16:39,SW
 Southbound 52 Street approaching Stoney Trail SE ,7/18/2023 16:32,SE
 Eastbound 17 Avenue and 47 Street SE ,7/18/2023 16:06,SE
 Eastbound McKnight Boulevard and 19 Street NE ,7/18/2023 16:03,NE
 Eastbound McKnight Boulevard east of 19 Street NE ,7/18/2023 16:03,NE
 Southbound Metis Trail and 88 Avenue NE ,7/18/2023 16:00,NE
 Eastbound Country Hills Boulevard and Stoney Trail NW ,7/18/2023 15:16,NW
 50 Avenue and Macleod Trail SW ,7/18/2023 14:55,SW
 Deerfoot Trail south of Stoney Trail  NE ,7/18/2023 14:16,NE
 Southbound Deerfoot Trail south of Stoney Trail  NE ,7/18/2023 14:16,NE
 Westbound 16 Avenue west of 52 Street NE ,7/18/2023 13:50,NE
 Southbound Deerfoot Trail approaching Glenmore Trail SE ,7/18/2023 13:28,SE
 Northbound 11 Street and 10 Avenue SW ,7/18/2023 12:40,SW
 5 Avenue and 5 Street SW ,7/18/2023 8:56,NW
 Eastbound Heritage Drive and Horton Road SW ,7/18/2023 8:53,SW
 4 Street and 7 Avenue SW ,7/18/2023 7:44,SW
 Eastbound 114 Avenue and Barlow Trail SE ,7/18/2023 7:27,SE
 Northbound Deerfoot Trail and Southland Drive SE ,7/18/2023 7:11,SE
 Northbound Barlow Trail approaching 106 Avenue SE ,7/18/2023 6:57,SE
 5 Avenue at 9 Street SW ,7/17/2023 23:16,SW
 Northbound Sarcee Trail and Richmond Road SW ,7/17/2023 21:23,SW
 Westbound 9 Avenue and 4 Street SE ,7/17/2023 20:03,SE
 34 Street and 62 Avenue SW ,7/17/2023 19:54,SW
 Country Hills Boulevard and Panorama Hills Boulevard NW ,7/17/2023 18:16,NW
 Southbound Deerfoot Trail and Douglasdale Boulevard SE ,7/17/2023 18:06,SE
 Memorial Drive and 14 Street NW ,7/17/2023 18:04,NW
 64 Avenue and Falconridge Boulevard NE ,7/17/2023 17:02,NE
 Northbound Deerfoot Trail approaching Anderson Road SE ,7/17/2023 16:28,SE
 Beddington Boulevard and Beddington Trail NE ,7/17/2023 16:15,NE
 Eastbound 64 Avenue and Hunterhorn Road NE ,7/17/2023 16:03,NE
 Northbound Deerfoot Trail and Memorial Drive SE ,7/17/2023 15:54,SE
 Centre Street and 58 Avenue SE ,7/17/2023 15:49,SE
 Bonaventure Drive and 94 Avenue SE ,7/17/2023 15:32,SE
 Country Hills Boulevard west of Stoney Trail NE ,7/17/2023 15:21,NE
 Country Hills Boulevard east of of Stoney Trail NE ,7/17/2023 15:21,NE
 Eastbound Country Hills Boulevard east of of Stoney Trail NE ,7/17/2023 15:21,NE
 4 Street and 4 Avenue SW ,7/17/2023 15:17,SW
 Fairmount Drive and Fredson Drive SE ,7/17/2023 15:04,SE
 Edgemont Boulevard and Edgepark Boulevard  NW ,7/17/2023 14:15,NW
 63 Avenue and Crowchild Trail SW ,7/17/2023 14:10,SW
 Northbound Centre Street and 13 Avenue NW ,7/17/2023 12:36,NE
 Eastbound Glenmore Trail approaching 14 Street SW ,7/17/2023 12:30,SW
 32 Avenue and Edmonton Trail NE ,7/17/2023 12:27,NE
 4 Avenue and 5 Street SW ,7/17/2023 11:04,NW
 Southbound Deerfoot Trail after Glenmore Trail SE ,7/17/2023 10:48,SE
 11 Street and Heritage Drive SE ,7/17/2023 10:40,SE
 Southbound Stoney Trail and Peigan Trail SE ,7/17/2023 10:02,SE
 Eastbound 16 Avenue and Home Road NW ,7/17/2023 9:24,NW
 40 Street and 64 Avenue NE ,7/17/2023 8:56,NE
 Northbound Deerfoot Trail approaching Peigan Trail SE ,7/17/2023 7:44,SE
 19 Street and Blackfoot Trail SE ,7/17/2023 6:50,SE
 8 Avenue and 12 Street SE ,7/17/2023 0:36,SE
 Southbound Barlow Trail at 16 Avenue NE ,7/16/2023 22:32,NE
 Westbound 6 Avenue at 1 Street SW ,7/16/2023 22:08,SW
 Northbound 18 Street at Riverbend Gate SE ,7/16/2023 20:15,SE
 Douglasdale Boulevard at Douglasbank Drive SE ,7/16/2023 19:42,SE
 Westbound 4 Avenue at 9 Street SW ,7/16/2023 19:40,SW
 Beddington Boulevard and 4 Street NE ,7/16/2023 16:09,NE
 Southbound Nose Hill Drive and Crowfoot Wy NW ,7/16/2023 15:29,NW
 Southbound Stoney Trail and Peigan Trail SE ,7/16/2023 14:46,SE
 32 Avenue and 68 Street NW ,7/16/2023 14:18,NW
 Somercrest Street and 162 Avenue SW ,7/16/2023 13:16,NW
 Eastbound 130 Avenue and Mt McKenzie Drive SE ,7/16/2023 13:14,SE
 Westbound Memorial Drive and Edmonton Trail NE ,7/16/2023 12:54,NE
 Eastbound Memorial Drive and Deerfoot Trail SE ,7/16/2023 11:37,SE
 Sarcee Trail and 16 Avenue NW ,7/16/2023 8:51,SW
 Eastbound 16 Avenue and Barlow Trail NE ,7/16/2023 5:58,NE
 17 Avenue and Aspen Summit Drive SW ,7/15/2023 23:34,SW
 16 Avenue and 29 Street NW ,7/15/2023 22:21,NW
 25 Avenue east of Macleod Trail S ,7/15/2023 22:14,SE
 Eastbound Country Hills Boulevard at Deerfoot Trail NE ,7/15/2023 20:43,NE
 Eastbound Country Hills Boulevard at Deerfoot Trail NE ,7/15/2023 20:43,NE
 17 Avenue and 39 Street SE ,7/15/2023 20:40,SE
 Country Hills Boulevard and Nose Hill Drive NW ,7/15/2023 19:45,NW
 Eastbound Memorial Drive at 10 Street NW ,7/15/2023 18:17,NW
 Eastbound Trans Canada Hi at Stoney Trail NW ,7/15/2023 18:12,NW
 68 Street and Applewood Drive SE ,7/15/2023 15:47,SE
 Southbound Deerfoot Trail south of 16 Avenue NE ,7/15/2023 15:20,NE
 Southbound Deerfoot Trail approaching Memorial Drive SE ,7/15/2023 15:02,SE
 Southbound Deerfoot Trail approaching Memorial Drive SE ,7/15/2023 15:02,SE
 Southbound Deerfoot Trail approaching Memorial Drive SE ,7/15/2023 15:02,SE
 Aviation Boulevard and Mcknight Boulevard NE ,7/15/2023 13:22,NE
 17 Avenue and Stoney Trail SE ,7/15/2023 13:16,SE
 Northbound Deerfoot Trail and Peigan Trail SE ,7/15/2023 12:43,SE
 52 Street and 68 Avenue SE ,7/15/2023 10:39,SE
 8 Avenue and 52 Street SE ,7/15/2023 10:35,SE
 Southbound Deerfoot Trail approaching 17 Avenue SE ,7/15/2023 1:22,SE
 Westbound Memorial Drive and 4 Street NW ,7/15/2023 0:30,NW
 52 Street and Whitehorn Drive NE ,7/15/2023 0:21,NE
 Southbound Sarcee Trail south of Richmond Road SW ,7/14/2023 20:38,SW
 Southbound Deerfoot Trail approaching Memorial Drive SE ,7/14/2023 20:32,SE
